Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
38,Jordan Clarkson,SG,25,CLE,19,0,286,37,123,.301,11,46,.239,26,77,.338,.346,5,6,.833,9,23,32,13,8,3,13,21,90,clarkjo01
39,Zach Collins,C,20,POR,4,0,70,11,30,.367,3,14,.214,8,16,.500,.417,3,4,.750,3,9,12,6,3,2,2,10,28,colliza01
40,Darren Collison,PG,30,IND,7,7,214,31,68,.456,8,23,.348,23,45,.511,.515,9,12,.750,1,20,21,33,7,0,9,7,79,collida01
41,Pat Connaughton,SG,25,POR,4,0,59,6,15,.400,2,10,.200,4,5,.800,.467,2,2,1.000,2,2,4,6,1,1,1,9,16,connapa01
42,Quinn Cook,PG,24,GSW,17,0,175,30,67,.448,7,31,.226,23,36,.639,.500,14,17,.824,2,21,23,11,4,2,5,13,81,cookqu01
43,Robert Covington,SF,27,PHI,10,8,281,27,83,.325,15,48,.313,12,35,.343,.416,12,16,.750,12,41,53,25,11,9,11,30,81,covinro01
44,Jamal Crawford,SG,37,MIN,5,0,123,21,47,.447,7,17,.412,14,30,.467,.521,10,13,.769,1,12,13,12,5,0,5,6,59,crawfja01
45,Jordan Crawford,SG,29,NOP,2,0,15,8,13,.615,3,8,.375,5,5,1.000,.731,0,0,,0,4,4,1,1,0,3,1,19,crawfjo02
46,Jae Crowder,SF,27,UTA,11,2,323,35,108,.324,22,66,.333,13,42,.310,.426,18,28,.643,4,52,56,19,15,2,14,25,110,crowdja01
47,Stephen Curry,PG,29,GSW,15,14,555,137,304,.451,64,162,.395,73,142,.514,.556,45,47,.957,9,82,91,81,26,11,43,38,383,curryst01
48,Anthony Davis,PF,24,NOP,9,9,358,106,204,.520,6,22,.273,100,182,.549,.534,53,64,.828,24,97,121,15,18,21,23,30,271,davisan02
49,Ed Davis,C,28,POR,4,0,71,5,10,.500,0,0,,5,10,.500,.500,1,4,.250,5,27,32,0,0,1,4,7,11,davised01
50,Matthew Dellavedova,PG,27,MIL,6,0,78,4,12,.333,2,9,.222,2,3,.667,.417,2,2,1.000,1,4,5,16,2,0,6,6,12,dellama01
51,DeMar DeRozan,SG,28,TOR,10,10,354,87,199,.437,10,35,.286,77,164,.470,.462,43,53,.811,6,30,36,40,5,6,23,24,227,derozde01
52,Cheick Diallo,PF,21,NOP,7,0,48,5,12,.417,0,0,,5,12,.417,.417,0,0,,4,5,9,0,1,1,1,9,10,diallch01
53,Gorgui Dieng,C,28,MIN,5,0,70,6,18,.333,2,5,.400,4,13,.308,.389,3,4,.750,3,15,18,4,2,4,1,6,17,dienggo01
54,Goran Dragić,PG,31,MIA,5,5,156,35,75,.467,8,21,.381,27,54,.500,.520,15,22,.682,3,10,13,23,5,0,15,15,93,dragigo01
55,Kevin Durant,SF,29,GSW,21,21,807,212,435,.487,47,138,.341,165,297,.556,.541,137,152,.901,13,150,163,99,15,25,50,43,608,duranke01
56,Wayne Ellington,SG,30,MIA,5,0,101,12,35,.343,12,30,.400,0,5,.000,.514,3,3,1.000,1,7,8,3,2,2,3,9,39,ellinwa01
57,Joel Embiid,C,23,PHI,8,8,278,60,138,.435,8,29,.276,52,109,.477,.464,43,61,.705,23,78,101,24,7,14,29,31,171,embiijo01
58,Dante Exum,PG,22,UTA,10,0,114,20,41,.488,2,7,.286,18,34,.529,.512,9,12,.750,4,10,14,10,1,1,15,15,51,exumda01
59,Derrick Favors,C,26,UTA,11,9,286,42,68,.618,2,5,.400,40,63,.635,.632,16,33,.485,20,37,57,13,8,11,10,17,102,favorde01
60,Raymond Felton,PG,33,OKC,6,0,79,12,31,.387,7,14,.500,5,17,.294,.500,0,2,.000,2,11,13,9,4,2,5,7,31,feltora01
61,Terrance Ferguson,SG,19,OKC,3,0,6,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,1,0,1,1,0,0,0,2,3,fergute01
